EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL
11110103,궁정동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110120,신문로1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110167,충신동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110185,홍지동,2026-06-09 06:03,2026-06-09 03:03,6.176933728540211e-11,안전
11110154,장사동,2026-06-09 06:03,2026-06-09 03:03,-1.9754084519664773e-11,안전
11110135,관철동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110177,평동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110156,종로3가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110161,종로4가,2026-06-09 06:03,2026-06-09 03:03,-1.9671053521169084e-10,안전
11110123,서린동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110178,송월동,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110158,예지동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11110127,공평동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110179,홍파동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110126,종로1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110117,당주동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110163,종로5가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11110153,돈의동,2026-06-09 06:03,2026-06-09 03:03,4.955943973004726e-11,안전
11110136,인사동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110152,봉익동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110180,교북동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110116,도렴동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110151,묘동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110157,인의동,2026-06-09 06:03,2026-06-09 03:03,-8.675004602513073e-11,안전
11110118,내수동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110121,신문로2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110162,효제동,2026-06-09 06:03,2026-06-09 03:03,-6.330872771971647e-11,안전
11110129,견지동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110133,익선동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110124,수송동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110128,관훈동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110174,창신동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11110119,세종로,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110164,종로6가,2026-06-09 06:03,2026-06-09 03:03,6.919169551185979e-11,안전
11110176,교남동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110155,관수동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110122,청진동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110131,권농동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110145,송현동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110115,사직동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110113,필운동,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110165,이화동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110112,체부동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110141,안국동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110106,통의동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110160,연지동,2026-06-09 06:03,2026-06-09 03:03,-8.675004602513073e-11,안전
11110125,중학동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110114,내자동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110107,적선동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110138,종로2가,2026-06-09 06:03,2026-06-09 03:03,5.097026327881298e-11,안전
11110134,경운동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110159,원남동,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11110181,행촌동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110150,훈정동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110132,운니동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110137,낙원동,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11110144,사간동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110187,무악동,2026-06-09 06:03,2026-06-09 03:03,6.176933728540211e-11,안전
11110109,누상동,2026-06-09 06:03,2026-06-09 03:03,3.469952682707184e-06,안전
11110143,화동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110172,명륜4가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110104,효자동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110139,팔판동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110102,신교동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110146,가회동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110171,명륜2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110101,청운동,2026-06-09 06:03,2026-06-09 03:03,1.653454710734332e-11,안전
11110111,옥인동,2026-06-09 06:03,2026-06-09 03:03,1.653454710734332e-11,안전
11110130,와룡동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110148,계동,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110149,원서동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110173,명륜3가,2026-06-09 06:03,2026-06-09 03:03,-2.4046001881269256e-10,안전
11110170,명륜1가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110147,재동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110110,누하동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110108,통인동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110142,소격동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110105,창성동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110166,연건동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110183,평창동,2026-06-09 06:03,2026-06-09 03:03,0.00010104052367590679,안전
11110182,구기동,2026-06-09 06:03,2026-06-09 03:03,0.00010139887986591586,안전
11110175,숭인동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11110168,동숭동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110140,삼청동,2026-06-09 06:03,2026-06-09 03:03,3.468838975979296e-06,안전
11110184,부암동,2026-06-09 06:03,2026-06-09 03:03,1.6248705954363106e-11,안전
11110169,혜화동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110186,신영동,2026-06-09 06:03,2026-06-09 03:03,3.264451289049404e-06,안전
11140165,황학동,2026-06-09 06:03,2026-06-09 03:03,-1.5174506846287015e-10,안전
11140156,입정동,2026-06-09 06:03,2026-06-09 03:03,-6.330872771971647e-11,안전
11140143,장충동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140144,장충동2가,2026-06-09 06:03,2026-06-09 03:03,-2.4046001881269256e-10,안전
11140160,인현동1가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140105,을지로2가,2026-06-09 06:03,2026-06-09 03:03,5.097026327881298e-11,안전
11140135,예관동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140132,충무로4가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140107,삼각동,2026-06-09 06:03,2026-06-09 03:03,4.955943973004726e-11,안전
11140106,남대문로1가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140137,필동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140140,남학동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140109,장교동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140161,저동2가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140134,인현동2가,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11140126,명동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140131,저동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140169,의주로1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140172,의주로2가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140122,회현동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140128,남산동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140130,남산동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140158,충무로3가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140133,충무로5가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140159,초동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140136,묵정동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140154,오장동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140146,광희동2가,2026-06-09 06:03,2026-06-09 03:03,-6.567088403692711e-11,안전
11140145,광희동1가,2026-06-09 06:03,2026-06-09 03:03,-1.9671053521169084e-10,안전
11140147,쌍림동,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11140123,회현동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140129,남산동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140111,소공동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140113,북창동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140155,을지로3가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140170,충정로1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140148,을지로6가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140127,명동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140104,을지로1가,2026-06-09 06:03,2026-06-09 03:03,3.913260302039676e-11,안전
11140110,수표동,2026-06-09 06:03,2026-06-09 03:03,-1.940068010777771e-10,안전
11140149,을지로7가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140153,방산동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140168,순화동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140118,남대문로5가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140117,남대문로4가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140119,봉래동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140112,남창동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140164,무학동,2026-06-09 06:03,2026-06-09 03:03,-1.940068010777771e-10,안전
11140163,흥인동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140174,만리동2가,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11140167,정동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140142,예장동,2026-06-09 06:03,2026-06-09 03:03,6.176933728540211e-11,안전
11140171,중림동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140162,신당동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11140120,봉래동2가,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11140121,회현동1가,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11140173,만리동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140103,태평로1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140102,다동,2026-06-09 06:03,2026-06-09 03:03,5.097026327881298e-11,안전
11140101,무교동,2026-06-09 06:03,2026-06-09 03:03,3.913260302039676e-11,안전
11140152,주교동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140157,산림동,2026-06-09 06:03,2026-06-09 03:03,-6.330872771971647e-11,안전
11140108,수하동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140124,충무로1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140125,충무로2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140116,남대문로3가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140115,남대문로2가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140166,서소문동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140114,태평로2가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140150,을지로4가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140139,필동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140138,필동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140141,주자동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140151,을지로5가,2026-06-09 06:03,2026-06-09 03:03,-1.9671053521169084e-10,안전
11170103,용산동4가,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11170132,동빙고동,2026-06-09 06:03,2026-06-09 03:03,7.551860927859957e-11,안전
11170120,도원동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11170135,용산동6가,2026-06-09 06:03,2026-06-09 03:03,-1.4086546821367995e-10,안전
11170126,용산동3가,2026-06-09 06:03,2026-06-09 03:03,6.919169551185979e-11,안전
11170121,용문동,2026-06-09 06:03,2026-06-09 03:03,-1.8804819753790027e-10,안전
11170116,청암동,2026-06-09 06:03,2026-06-09 03:03,-3.847947596741308e-11,안전
11170117,원효로3가,2026-06-09 06:03,2026-06-09 03:03,-1.767435095142095e-10,안전
11170119,효창동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11170107,동자동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11170131,한남동,2026-06-09 06:03,2026-06-09 03:03,-8.366347946206703e-11,안전
11170118,원효로4가,2026-06-09 06:03,2026-06-09 03:03,-1.3002154406980308e-10,안전
11170129,이촌동,2026-06-09 06:03,2026-06-09 03:03,-3.565852727156238e-11,안전
11170101,후암동,2026-06-09 06:03,2026-06-09 03:03,2.0167346384068033e-11,안전
11170125,한강로2가,2026-06-09 06:03,2026-06-09 03:03,-6.317638796064217e-11,안전
11170104,갈월동,2026-06-09 06:03,2026-06-09 03:03,-3.942242295910269e-11,안전
11170102,용산동2가,2026-06-09 06:03,2026-06-09 03:03,1.5418054452848946e-11,안전
11170123,신계동,2026-06-09 06:03,2026-06-09 03:03,-1.4119769578292106e-10,안전
11170113,원효로2가,2026-06-09 06:03,2026-06-09 03:03,-1.4119769578292106e-10,안전
11170127,용산동5가,2026-06-09 06:03,2026-06-09 03:03,-1.6306985727227027e-10,안전
11170124,한강로1가,2026-06-09 06:03,2026-06-09 03:03,-1.2752404354098184e-10,안전
11170128,한강로3가,2026-06-09 06:03,2026-06-09 03:03,-3.602723674204736e-11,안전
11170122,문배동,2026-06-09 06:03,2026-06-09 03:03,-4.9502735718702925e-11,안전
11170112,원효로1가,2026-06-09 06:03,2026-06-09 03:03,-4.367647193790394e-11,안전
11170111,청파동3가,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11170105,남영동,2026-06-09 06:03,2026-06-09 03:03,-1.6306985727227027e-10,안전
11170106,용산동1가,2026-06-09 06:03,2026-06-09 03:03,-1.7437454529596106e-10,안전
11170110,청파동2가,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11170114,신창동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11170115,산천동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11170109,청파동1가,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11170130,이태원동,2026-06-09 06:03,2026-06-09 03:03,2.0167346384068033e-11,안전
11170136,보광동,2026-06-09 06:03,2026-06-09 03:03,7.45248731640602e-11,안전
11170108,서계동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11170134,주성동,2026-06-09 06:03,2026-06-09 03:03,-1.6982140677989275e-10,안전
11170133,서빙고동,2026-06-09 06:03,2026-06-09 03:03,-6.284416039140113e-11,안전
11200115,성수동2가,2026-06-09 06:03,2026-06-09 03:03,-3.565852727156238e-11,안전
11200104,도선동,2026-06-09 06:03,2026-06-09 03:03,-4.319540282507907e-11,안전
11200107,행당동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11200101,상왕십리동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11200103,홍익동,2026-06-09 06:03,2026-06-09 03:03,-3.942242295910269e-11,안전
11200106,사근동,2026-06-09 06:03,2026-06-09 03:03,8.599382395199146e-11,안전
11200110,금호동2가,2026-06-09 06:03,2026-06-09 03:03,-2.3387296815983943e-11,안전
11200111,금호동3가,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11200114,성수동1가,2026-06-09 06:03,2026-06-09 03:03,-3.233189780808632e-11,안전
11200109,금호동1가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11200112,금호동4가,2026-06-09 06:03,2026-06-09 03:03,8.636253342247644e-11,안전
11200122,용답동,2026-06-09 06:03,2026-06-09 03:03,-1.6606879096471095e-11,안전
11200105,마장동,2026-06-09 06:03,2026-06-09 03:03,-2.0066589693244868e-10,안전
11200102,하왕십리동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11200108,응봉동,2026-06-09 06:03,2026-06-09 03:03,9.357652133915151e-11,안전
11200118,송정동,2026-06-09 06:03,2026-06-09 03:03,-3.602723674204736e-11,안전
11200113,옥수동,2026-06-09 06:03,2026-06-09 03:03,7.45248731640602e-11,안전
11215105,자양동,2026-06-09 06:03,2026-06-09 03:03,-1.3002154406980308e-10,안전
11215103,구의동,2026-06-09 06:03,2026-06-09 03:03,9.016683927373102e-11,안전
11215107,화양동,2026-06-09 06:03,2026-06-09 03:03,-1.827381957117082e-10,안전
11215102,능동,2026-06-09 06:03,2026-06-09 03:03,-4.319540282507907e-11,안전
11215104,광장동,2026-06-09 06:03,2026-06-09 03:03,9.016683927373102e-11,안전
11215109,군자동,2026-06-09 06:03,2026-06-09 03:03,-1.6306985727227027e-10,안전
11215101,중곡동,2026-06-09 06:03,2026-06-09 03:03,4.8230858473136404e-11,안전
11230106,장안동,2026-06-09 06:03,2026-06-09 03:03,-6.317638796064217e-11,안전
11230101,신설동,2026-06-09 06:03,2026-06-09 03:03,3.994497557190522e-06,안전
11230102,용두동,2026-06-09 06:03,2026-06-09 03:03,-1.6306985727227027e-10,안전
11230107,청량리동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11230109,휘경동,2026-06-09 06:03,2026-06-09 03:03,-4.367647193790394e-11,안전
11230110,이문동,2026-06-09 06:03,2026-06-09 03:03,-6.112310404581955e-11,안전
11230103,제기동,2026-06-09 06:03,2026-06-09 03:03,-1.4904133432895612e-10,안전
11230105,답십리동,2026-06-09 06:03,2026-06-09 03:03,-1.7437454529596106e-10,안전
11230104,전농동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11230108,회기동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11260103,중화동,2026-06-09 06:03,2026-06-09 03:03,1.7867171923003888e-10,안전
11260102,상봉동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
